METRO,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Dover, DE Metro Area",215,179124,10.38,4.69,6.39,1.44,0.58,0.75,28.97,19.6,14.1,15.6,5.5,60117,74310
"Dubuque, IA Metro Area",-208,97193,9.86,5.3,5.55,1.06,1.08,1.74,30.52,18.2,16,17.5,4.5,64493,85191
"Duluth, MN-WI Metro Area",-112,289276,10.17,4.57,6.83,1.19,0.63,1.17,32.25,18.9,13.1,16.4,4.9,58729,75001
"Durham-Chapel Hill, NC Metro Area",3617,636256,10.9,5.01,7.43,3.12,1.75,2.17,32.41,17.1,12.5,15.2,7.2,64745,93338
"East Stroudsburg, PA Metro Area",315,168824,9.57,6.1,5.06,1.09,0.67,1.03,29.25,19,15.3,17.7,6.8,68734,86224
"Eau Claire, WI Metro Area",568,168307,11.5,4.67,8.39,0.73,0.85,0.83,31.96,19.1,14.3,17.8,4.5,62031,79315
"El Centro, CA Metro Area",-794,180580,12.41,7.61,6.57,0.75,0.28,0.66,16.78,14.8,12.3,12.9,3.6,46222,63824
"El Paso, TX Metro Area",1392,841602,12.39,6.27,7.42,1.56,0.63,1.21,23.05,18.8,11.1,11.8,4,48193,64952
"Elizabethtown-Fort Knox, KY Metro Area",1534,152275,10.4,5.26,4.22,0.83,0.78,0.62,28.55,19,14.4,14.8,4.4,56680,75605
"Elkhart-Goshen, IN Metro Area",-157,205184,9.74,5.81,2.99,0.31,0.39,0.58,25.13,20.4,14.2,14.9,4.6,58509,73647
"Elmira, NY Metro Area",-1173,84115,9.99,4.99,3.66,0.5,0.37,1.35,30.32,18.9,14.1,13.4,4.6,54883,72456
"Enid, OK Metro Area",325,61555,10.63,5.5,2.98,0.99,0.2,0.75,26.93,23.2,11.1,14.5,4.2,55435,70806
"Erie, PA Metro Area",505,272046,10.08,4.7,5.44,1.35,0.8,1.25,29.89,18.8,12.2,13.3,4.4,52863,70505
"Eugene-Springfield, OR Metro Area",1787,377749,11.46,4.38,7.87,1.38,0.64,0.87,33.95,17.7,13.5,13.8,4.5,54942,74025
"Evansville, IN-KY Metro Area",2292,315186,9.55,5.04,4.81,0.85,0.77,1.15,30.28,18.4,13.9,13.9,5.1,55553,76089
"Fairbanks, AK Metro Area",443,98455,16.77,4.21,6.97,1.72,0.51,1.45,31.07,19.8,14.4,19.3,9.3,76464,98769
"Fargo, ND-MN Metro Area",62,243966,13.84,4.31,9.33,1.98,0.97,1.26,34.58,18.9,14.4,16.9,6.2,65995,86531
"Farmington, NM Metro Area",-938,125608,10.01,5.72,4.92,0.73,0.21,0.83,22.44,18,11.9,11.8,4.7,47643,63187
"Fayetteville-Springdale-Rogers, AR Metro Area",780,526101,11.66,5.36,6.16,1.16,1.33,1.66,28.94,19,13.5,14.5,5.7,61761,87521
"Fayetteville, NC Metro Area",3023,523480,13.69,5.28,7.2,1.53,0.66,0.55,28.06,19.5,12.6,11.7,3.7,50133,63957
"Flagstaff, AZ Metro Area",362,142254,13.58,4.37,15.99,2.01,0.7,1.3,26.74,19.6,13.2,13.7,6.1,59000,77748
"Flint, MI Metro Area",-888,406770,9.12,5.63,3.97,0.84,0.49,1.14,30.06,19.2,10.9,11.9,4.7,50269,69011
"Florence-Muscle Shoals, AL Metro Area",947,147827,9.71,4.51,5.63,0.67,0.6,0.75,26.62,18.1,12.9,11.8,3.5,48244,64397
"Florence, SC Metro Area",-522,205095,8.86,5.42,4.8,0.94,0.55,0.84,24.97,18,9.4,11.7,4.2,45037,63618
"Fond du Lac, WI Metro Area",44,102654,8.97,4.94,4.8,0.59,0.45,1.13,32.05,20.7,14.9,18.8,5.2,64147,79146
"Fort Collins, CO Metro Area",2042,350523,13.11,4.69,9.79,2,1.67,2.97,34.36,16.5,14.8,18.4,9.1,76366,97178
"Fort Smith, AR-OK Metro Area",206,250260,9.59,5.12,3.79,0.61,0.49,0.76,25.2,18.2,11.5,11.3,2.9,46424,65291
"Fort Wayne, IN Metro Area",1435,409419,10.04,5.62,4.29,0.91,0.88,1.2,30.49,20.2,14.2,13.8,4.8,57693,75286
"Fresno, CA Metro Area",1932,990204,11.52,6.34,6.49,1.03,0.41,0.72,22.47,17.1,12.1,14.2,6.3,57109,79175
"Gadsden, AL Metro Area",-289,102721,8.83,5.38,3.85,0.46,0.29,0.47,24.28,16.8,11.5,11.5,3.4,44934,61229
"Gainesville, FL Metro Area",-376,327329,14.12,3.67,13.6,4.09,0.93,1.87,30.44,17.5,10.4,11.3,4.3,47848,69779
"Gainesville, GA Metro Area",977,201434,10.02,5.62,4.24,0.69,0.67,0.88,25.78,19,14.1,16,6.5,63651,88046
"Gettysburg, PA Metro Area",-533,102627,8.8,4.55,5.41,0.77,0.76,0.78,29.78,18.8,15.6,19.5,6,68411,82215
"Glens Falls, NY Metro Area",-108,125491,9.28,4.68,2.96,0.71,0.75,1.07,32.13,19.5,13.3,17.4,5.7,62284,79544
"Goldsboro, NC Metro Area",-219,123785,10.79,5.61,5.42,0.85,0.4,0.42,27.2,18.9,10.9,11.8,2.8,47221,65694
"Grand Forks, ND-MN Metro Area",300,101627,14.83,4.01,11.54,1.71,0.53,0.85,33.54,16.7,13.6,15.6,4.8,55122,72339
"Grand Island, NE Metro Area",-695,75592,9.37,5.91,2.56,0.65,0.27,0.57,27.59,20.1,14.6,13.8,4.5,57938,73704
"Grand Junction, CO Metro Area",-191,152962,9.96,4.98,5.37,0.83,0.65,1.23,31.64,18.2,14.4,13.8,5.1,57157,72683
"Grand Rapids-Kentwood, MI Metro Area",2217,1069696,11.11,5.4,5.71,1.05,0.91,1.57,29.5,19.7,14.6,16.9,6.1,66297,86260
"Grants Pass, OR Metro Area",28,87097,7.93,4.71,3.47,0.46,0.21,0.78,32.48,19.2,12,10.8,3.2,47733,65425
"Great Falls, MT Metro Area",277,81576,11.48,4.63,3.79,0.94,0.55,0.94,31.14,19.6,12.1,12.5,4.3,52049,70038
"Greeley, CO Metro Area",3092,315389,11.04,5.52,5.51,1.06,0.87,1.32,26.7,18.1,14.9,20.7,7.7,74332,92838
"Green Bay, WI Metro Area",773,320827,9.7,5.25,4.9,0.87,0.85,1.23,31.71,19.4,15,17.6,5.3,64951,82285
"Greensboro-High Point, NC Metro Area",2133,767467,9.56,5.24,6.65,1.08,0.93,1.26,29.57,17.8,12.2,12.8,4.5,52233,73162
"Greenville-Anderson, SC Metro Area",2208,908680,10.03,4.88,5.78,1.21,0.73,2.11,28.94,18.2,12.7,14.2,5.4,57432,79880
"Greenville, NC Metro Area",2921,179961,12.42,4.49,13.93,2.39,0.61,0.74,30.01,17.8,11.6,12.5,4,49337,68434
