name_2019,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Malone, NY Micro Area",812,50477,13.73,4.32,3.08,0.28,0.38,0.44,25.78,18.4,13,11.6,4.3,50407,65742
"Malvern, AR Micro Area",385,33597,10.89,4.44,3.18,0.42,0.42,0.29,20.69,20.8,10.2,9.8,2.7,43889,56264
"Manchester-Nashua, NH Metro Area",4004,413035,10.24,5.15,4.61,1.49,1.92,2.98,33.36,16.1,13.8,19.9,10.3,81460,103090
"Manhattan, KS Metro Area",-522,132928,20.59,3.82,15.91,2.86,0.77,1.08,30.59,20.1,12.3,12.9,5.2,54141,69736
"Manitowoc, WI Micro Area",-380,79185,8.28,5.09,3.23,0.55,0.54,0.98,32.81,20.2,14.9,13.8,4,56612,68951
"Mankato, MN Metro Area",-556,100749,14.01,4.2,14.22,1.15,0.83,0.49,32.03,18.1,15.1,16.4,5.2,60827,77720
"Mansfield, OH Metro Area",321,121100,10.56,5.1,3.55,0.65,0.36,0.68,28.21,20.3,13.3,11.2,2.7,49547,62847
"Marietta, OH Micro Area",0,60426,9.09,5.37,4.16,0.7,0.5,1.19,29.03,18.5,13.5,11.8,3.8,50021,67322
"Marinette, WI-MI Micro Area",93,63465,7.4,4.82,3.04,0.39,0.44,0.94,32.47,21.2,13,10.3,2.5,48933,61423
"Marion, IN Micro Area",-306,66452,9.11,4.68,8.93,0.74,0.35,0.55,27.01,19,10.8,11,2.5,44356,56890
"Marion, NC Micro Area",65,45227,8.96,4.48,2.79,0.61,0.3,0.67,26.24,18.7,12.6,9.3,2.7,43646,59567
"Marion, OH Micro Area",470,65299,11.27,5.86,3.97,0.52,0.21,0.59,26.6,19.6,11.6,10.8,3.2,47498,63207
"Marquette, MI Micro Area",613,66686,11.88,4.23,10.57,1.37,0.79,1.06,31.77,20.7,13.6,12.8,3.8,53970,67489
"Marshall, MN Micro Area",-34,25758,9.76,5.34,7.17,0.75,0.99,0.5,31.13,17.4,15.5,16,3.9,57730,75049
"Marshall, MO Micro Area",13,22976,9.61,4.9,6.93,0.78,0.41,0.66,24.03,20.9,11.5,8.5,2.4,44720,58691
"Marshalltown, IA Micro Area",143,39964,9.52,5.28,2.82,0.61,0.54,1.02,27.18,22.1,13.8,14.7,4.2,56437,68760
"Martin, TN Micro Area",-293,33510,11.19,4.59,12.25,0.9,0.43,0.53,26.38,18.4,10.2,8.1,1.8,39937,54538
"Martinsville, VA Micro Area",-184,64160,7.42,5.21,3.51,0.42,0.39,0.55,26.11,17.4,9.2,7.2,1.8,37309,51426
"Maryville, MO Micro Area",21,22359,15.95,3.53,21.53,2.33,0.56,0.58,29.66,16.4,13.4,9.7,2.9,44232,58922
"Mason City, IA Micro Area",247,50279,8.91,4.93,3.92,0.49,0.41,0.45,31.83,18.7,14.9,13,3.9,54388,72365
"Mayagüez, PR Metro Area",0,99545,10.85,4.61,11.01,1.65,0.63,1.07,17.45,6.9,2.7,1.8,0.6,15197,25993
"Mayfield, KY Micro Area",317,37248,8.78,5.86,3.41,0.4,0.31,0.66,25.97,18.2,10.4,10.8,3.7,44043,61303
"Maysville, KY Micro Area",204,17112,10.02,4.42,3.59,0.86,0.46,0.88,25.29,13.3,11.6,12.5,5.5,45377,70046
"McAlester, OK Micro Area",74,44146,10.54,4.87,3.17,0.43,0.19,0.44,25.16,18.6,11.4,11.2,2.9,46784,62746
"McAllen-Edinburg-Mission, TX Metro Area",-1288,855176,10.59,7.43,5.34,0.73,0.37,0.68,15.97,16.1,9.4,10.1,3.4,40014,58014
"McComb, MS Micro Area",61,39532,8.8,5.83,4.08,0.36,0.26,0.36,19.27,15,7.9,5.3,1.6,31784,44819
"McMinnville, TN Micro Area",-56,40702,8.89,5.57,2.92,0.36,0.35,0.59,24.24,19.2,9.2,8.5,1.8,41125,56764
"McPherson, KS Micro Area",-141,28567,9.55,5.15,4.72,0.98,0.55,1.01,33.4,21.1,13.9,14.7,4.5,59089,72213
"Meadville, PA Micro Area",-344,85665,8.41,4.75,4.17,0.63,0.38,0.73,29.26,19.7,13.9,10.9,3.4,50304,64730
"Medford, OR Metro Area",103,216574,9.12,4.54,3.97,0.65,0.48,0.88,32.76,19.1,12.9,12.8,4.2,53412,72849
"Memphis, TN-MS-AR Metro Area",27,1339623,10.09,5.65,4.79,1.31,0.77,1.08,25.24,17.4,11.8,13,5.2,53209,76187
"Menomonie, WI Micro Area",905,44759,12.66,4.39,15.44,0.98,0.74,1.06,29.78,20.5,15.2,14.8,4.5,58783,72092
"Merced, CA Metro Area",247,271382,11.57,6.87,7.57,0.76,0.25,0.42,20.34,18.5,12.7,12.3,4.8,53672,74379
"Meridian, MS Micro Area",-342,101992,9.9,5.21,5.11,0.87,0.31,0.66,23.24,16,9.3,10.2,3.1,41107,59127
"Mexico, MO Micro Area",429,25644,7.74,5.65,2.82,0.18,0.11,0.58,24.54,18.9,8.9,10.3,2,44261,61557
