"METRO","migration_net","population","male_20_34_p","enrolled_9_12_p","enrolled_college_p","enrolled_grad_p","occ_com_sci_math_p","occ_eng_p","mult_desktop_laptop_p","inc_50_74","inc_75_99","inc_100_149","inc_150_199","median_income","mean_income"
"Columbia, MO Metro Area","-940","205369","14.25","4.25","13.72","3.34","1.19","1.76","32.37","17.4","12.8","14.2","4.8","54808","74042"
"Columbia, SC Metro Area","6466","824278","10.82","5.31","6.46","1.51","0.91","1.27","28.89","18.4","13.4","13.6","5.1","55971","75154"
"Columbus, GA-AL Metro Area","2877","319402","12.29","5.2","6.04","1.51","0.84","0.67","25.7","18.1","11.3","10.8","4","47571","66392"
"Columbus, IN Metro Area","661","82481","10.83","5.48","3.23","1.07","1.51","5.4","29.57","19.2","14.9","15.1","6.6","63431","80056"
"Columbus, OH Metro Area","7446","2077761","11.12","5.3","5.65","1.55","1.34","1.91","30.67","18.2","13.5","16.5","6.7","65150","87472"
"Corpus Christi, TX Metro Area","-678","428548","10.87","5.55","5.01","0.67","0.4","0.96","23.7","17.5","12.9","14.5","5.7","56013","74850"
"Corvallis, OR Metro Area","243","91107","16.09","4.18","19.19","4.28","1.76","4.31","35.35","16.3","12.9","15.2","7.6","62077","84074"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","1106","272056","11.69","4.56","4.33","1","1.11","2.08","31.43","18.8","14.1","16","5.4","62161","82580"
"Cumberland, MD-WV Metro Area","-61","98612","10.91","4.38","7.03","0.76","0.6","0.71","26.52","19.7","12.7","9.8","2.9","47330","59814"
"Dallas-Fort Worth-Arlington, TX Metro Area","38903","7320663","10.67","5.87","5.01","1.29","1.5","2.16","28.07","17.8","13.2","16.7","8","70281","97589"
"Dalton, GA Metro Area","-316","143961","9.98","6.3","4.08","0.47","0.26","0.39","22.98","20.5","12.3","9.6","2.7","48481","64833"
"Danville, IL Metro Area","-703","77563","9.18","5.42","3.3","0.45","0.21","0.32","26.39","18.8","11.5","11","3.5","46515","61753"
